match_no,date,stage,home_team,away_team,home_goals_90,away_goals_90,home_goals_et,away_goals_et,spain_result_after_90,spain_final_result,notes
1,2026-06-12,Group stage,Spain,Cabo Verde,0,0,0,0,Draw,Draw,
2,2026-06-16,Group stage,Spain,Saudi Arabia,4,0,4,0,Win,Win,
3,2026-06-20,Group stage,Spain,Uruguay,1,0,1,0,Win,Win,
4,2026-07-02,Round of 32,Spain,Austria,3,0,3,0,Win,Win,
5,2026-07-06,Round of 16,Portugal,Spain,0,1,0,1,Win,Win,
6,2026-07-10,Quarter-final,Spain,Belgium,2,1,2,1,Win,Win,
7,2026-07-14,Semi-final,France,Spain,0,2,0,2,Win,Win,
8,2026-07-19,Final,Spain,Argentina,0,0,1,0,Draw,Win after extra time,Ferran Torres 106
