match_id,competition,stage,match_date,opponent,venue,score_90,score_120,goals_for,goals_against,result_90,result_final,extra_time,penalty_shootout,qualification,clean_sheet,attendance,source_id,source_url,retrieved_at,quality_status,notes
ESP_CPV_GS_20260615,FIFA World Cup 2026,Group H,2026-06-15,Cabo Verde,Atlanta Stadium,0-0,,0,0,D,D,0,0,Group stage,1,,FIFA_SPAIN_ROUTE_2026,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/articles/calendario-de-espana-en-la-copa-mundial-2026-encuentros-estadios-y-horarios,2026-07-21,verified_official,
ESP_KSA_GS_20260621,FIFA World Cup 2026,Group H,2026-06-21,Arabia Saudi,Atlanta Stadium,4-0,,4,0,W,W,0,0,Group stage,1,,FIFA_SPAIN_ROUTE_2026,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/articles/calendario-de-espana-en-la-copa-mundial-2026-encuentros-estadios-y-horarios,2026-07-21,verified_official,
ESP_URU_GS_20260626,FIFA World Cup 2026,Group H,2026-06-26,Uruguay,Guadalajara Stadium,1-0,,1,0,W,W,0,0,Qualified to Round of 32,1,,FIFA_SPAIN_ROUTE_2026,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/articles/calendario-de-espana-en-la-copa-mundial-2026-encuentros-estadios-y-horarios,2026-07-21,verified_official,Official fixture listed as Uruguay 0-1 Spain; score normalized from Spain perspective.
ESP_AUT_R32_20260702,FIFA World Cup 2026,Round of 32,2026-07-02,Austria,Los Angeles Stadium,3-0,,3,0,W,W,0,0,Qualified to Round of 16,1,,FIFA_SPAIN_ROUTE_2026,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/articles/calendario-de-espana-en-la-copa-mundial-2026-encuentros-estadios-y-horarios,2026-07-21,verified_official,
ESP_POR_R16_20260706,FIFA World Cup 2026,Round of 16,2026-07-06,Portugal,Dallas Stadium,1-0,,1,0,W,W,0,0,Qualified to quarter-finals,1,,FIFA_SPAIN_ROUTE_2026,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/articles/calendario-de-espana-en-la-copa-mundial-2026-encuentros-estadios-y-horarios,2026-07-21,verified_official,Official fixture listed as Portugal 0-1 Spain; score normalized from Spain perspective.
ESP_BEL_QF_20260710,FIFA World Cup 2026,Quarter-final,2026-07-10,Belgium,Los Angeles Stadium,2-1,,2,1,W,W,0,0,Qualified to semi-finals,0,,FIFA_SPAIN_ROUTE_2026,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/articles/calendario-de-espana-en-la-copa-mundial-2026-encuentros-estadios-y-horarios,2026-07-21,verified_official,
ESP_FRA_SF_20260714,FIFA World Cup 2026,Semi-final,2026-07-14,France,Dallas Stadium,2-0,,2,0,W,W,0,0,Qualified to final,1,,FIFA_SPAIN_ROUTE_2026,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/articles/calendario-de-espana-en-la-copa-mundial-2026-encuentros-estadios-y-horarios,2026-07-21,verified_official,Official fixture listed as France 0-2 Spain; score normalized from Spain perspective.
ESP_ARG_F_20260719,FIFA World Cup 2026,Final,2026-07-19,Argentina,New York New Jersey Stadium,0-0,1-0,1,0,D,W,1,0,World champions,1,,FIFA_FINAL_STANDINGS_2026,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/articles/clasificacion-final-copa-mundial-2026,2026-07-21,verified_official,Spain won 1-0 after extra time with Ferran Torres scoring in minute 106.
